st,yr,rtype,hectares,prod,type,temp,wind,rain,cloud,sun,rel_hum,ndvi
Barisal,2011,Aus,34995.0,60966.0,0,30.04166666666667,2.833333333333333,252.5,4.916666666666667,5.7666666666666675,83.0,0.41866833333333336
Barisal,2011,Aman,125090.0,258853.0,1,28.67857142857143,2.0,231.0,4.328571428571428,5.171428571428572,86.57142857142857,0.46248428571428574
Barisal,2011,Boro,61636.0,243112.0,2,25.585714285714282,1.7142857142857142,41.857142857142854,2.1714285714285717,7.242857142857143,78.85714285714286,0.45762857142857144
Barisal,2012,Aus,34849.0,56747.0,0,30.54166666666667,2.2,181.5,5.033333333333332,5.716666666666668,82.66666666666667,0.41764666666666667
Barisal,2012,Aman,123545.0,223867.0,1,28.37142857142857,1.614285714285714,177.85714285714286,4.671428571428572,5.085714285714286,86.57142857142857,0.45150000000000007
Barisal,2012,Boro,60761.0,241504.0,2,26.021428571428572,1.9714285714285715,59.42857142857143,2.3285714285714287,6.771428571428572,79.57142857142857,0.4495328571428571
Barisal,2013,Aus,35019.0,48335.0,0,30.18333333333333,2.75,303.6666666666667,5.116666666666666,5.833333333333332,83.16666666666667,0.4335116666666667
Barisal,2013,Aman,121883.0,245713.0,1,28.264285714285712,1.9857142857142855,220.7142857142857,4.328571428571428,5.528571428571429,85.57142857142857,0.4821042857142857
Barisal,2013,Boro,60721.0,226889.0,2,25.692857142857147,1.8857142857142857,110.85714285714286,2.2142857142857144,7.2285714285714295,79.71428571428571,0.4576314285714286
Barisal,2014,Aus,33664.0,49084.0,0,29.769968032836914,1.0934102535247805,241.6347503662109,4.808357238769531,5.8208417892456055,83.46463012695312,0.458445
Barisal,2014,Aman,123136.0,287835.0,1,28.441184997558594,0.9668799638748168,224.4472503662109,4.516255855560303,4.768065929412842,86.09896850585938,0.49298428571428576
Barisal,2014,Boro,56666.0,203562.0,2,25.571664810180664,0.7812875509262085,66.67020416259766,2.142524719238281,6.32275390625,81.29192352294922,0.4736642857142858
Barisal,2015,Aus,27209.0,40801.0,0,30.06331825256348,0.9146012663841248,200.2832946777344,4.711430072784424,5.795727252960205,82.72208404541016,0.46045500000000006
Barisal,2015,Aman,137773.0,328128.0,1,28.41803741455078,0.6271878480911255,207.90675354003903,4.4049410820007315,4.68702507019043,85.82855987548828,0.5079371428571429
Barisal,2015,Boro,56582.0,209042.0,2,25.565940856933594,0.6087665557861328,62.83179473876953,2.1441938877105717,6.123856067657472,75.2190933227539,0.4806785714285714
Barisal,2016,Aus,21940.0,35582.0,0,30.422008514404297,0.95451682806015,214.2667388916016,4.650852680206299,5.684553623199463,81.98165130615234,0.44212999999999997
Barisal,2016,Aman,120137.0,240835.0,1,28.41510581970215,0.6967381834983826,231.5889434814453,4.465085983276367,4.6036109924316415,86.04956817626953,0.47517999999999994
Barisal,2016,Boro,53708.0,205807.0,2,25.56980133056641,0.6378130912780762,61.41727066040039,2.0874836444854736,6.00088357925415,76.95038604736328,0.49635000000000007
Barisal,2017,Aus,17271.0,31237.0,0,30.02448654174805,0.882817804813385,232.57183837890625,4.732068538665772,5.7221107482910165,82.39453125,0.44409833333333326
Barisal,2017,Aman,128029.0,229729.0,1,28.454669952392575,0.7197826504707336,241.2713928222656,4.466045379638672,4.892817974090576,85.63733673095703,0.48744999999999994
Barisal,2017,Boro,52339.0,201186.0,2,25.56509017944336,0.6578826904296875,64.40392303466797,2.0976953506469727,6.5896897315979,81.11476135253906,0.4864885714285715
Barisal,2018,Aus,21770.0,38239.0,0,29.99480628967285,0.8492843508720398,228.69879150390625,4.646656513214111,5.739612579345702,82.72322082519531,0.45619000000000004
Barisal,2018,Aman,122065.0,208723.0,1,28.459482192993164,0.8074105978012085,241.49546813964844,4.461460590362549,4.740432262420653,85.81221771240234,0.5168685714285715
Barisal,2018,Boro,50803.7,195100.6,2,25.565025329589844,0.7232663631439209,63.41419219970703,2.0647881031036377,6.185515403747559,81.2513198852539,0.46292857142857136
Bhola,2011,Aus,64819.0,109977.0,0,29.65,1.6166666666666665,270.1666666666667,4.55,5.333333333333333,84.0,0.316525
Bhola,2011,Aman,170775.0,337661.0,1,28.45714285714286,1.2714285714285711,228.57142857142856,3.7428571428571433,4.8,86.85714285714286,0.3966757142857143
Bhola,2011,Boro,56382.0,194221.0,2,25.4,1.414285714285714,59.28571428571429,1.9285714285714288,6.8428571428571425,80.42857142857143,0.34094714285714284
Bhola,2012,Aus,61165.0,93360.0,0,29.925,1.7166666666666668,189.33333333333331,4.383333333333334,5.633333333333333,83.16666666666667,0.32924333333333333
Bhola,2012,Aman,172508.0,318800.0,1,28.092857142857145,1.3571428571428572,170.14285714285714,4.1,4.985714285714286,86.2857142857143,0.37411714285714287
Bhola,2012,Boro,58160.0,202302.0,2,25.771428571428572,1.4571428571428573,48.28571428571429,2.042857142857143,6.714285714285714,80.57142857142857,0.3376
Bhola,2013,Aus,60921.0,81528.0,0,29.93333333333333,2.3666666666666667,292.8333333333333,4.6000000000000005,4.583333333333333,83.16666666666667,0.32925
Bhola,2013,Aman,176171.0,340665.0,1,28.357142857142854,1.9142857142857144,214.57142857142856,3.9571428571428577,5.071428571428571,86.0,0.41152571428571433
Bhola,2013,Boro,53015.0,171108.0,2,25.828571428571426,1.5714285714285714,98.85714285714286,2.128571428571429,6.342857142857143,78.85714285714286,0.3468742857142857
Bhola,2014,Aus,74636.0,100811.0,0,29.49538803100586,1.7608619928359983,278.211669921875,4.521459579467773,5.85650634765625,82.70830535888672,0.34922666666666663
Bhola,2014,Aman,172207.0,334501.0,1,28.389249801635746,1.313853740692139,223.0243682861328,4.0815443992614755,5.342416286468506,86.06127166748047,0.41258428571428574
Bhola,2014,Boro,56377.0,173804.0,2,25.55949592590332,1.3397849798202517,65.65805053710939,2.0160169601440434,6.944020748138428,76.1001205444336,0.36502285714285715
Bhola,2015,Aus,76129.0,111741.0,0,29.77629852294922,1.3585546016693115,200.55453491210938,4.534403324127197,6.154780864715576,82.51123809814453,0.34026833333333334
Bhola,2015,Aman,181900.4,393399.0,1,28.34759521484375,1.263107419013977,200.8022308349609,3.9820690155029297,5.456940174102783,86.12395477294922,0.4300842857142858
Bhola,2015,Boro,54853.0,176767.0,2,25.55661964416504,1.5059456825256348,63.288734436035156,2.104074716567993,7.120485305786133,73.65780639648438,0.3548814285714285
Bhola,2016,Aus,75008.0,119328.0,0,29.987173080444336,1.2271019220352173,259.02117919921875,4.472126007080078,5.7452898025512695,82.71308898925781,0.31593999999999994
Bhola,2016,Aman,183490.0,411372.0,1,28.41353416442871,1.5119141340255735,227.8050842285156,4.142794132232666,5.534134387969972,86.04608154296875,0.3916214285714286
Bhola,2016,Boro,47090.0,165500.0,2,25.569171905517575,1.3663533926010132,61.89583206176758,2.0386593341827397,6.966435432434082,71.24590301513672,0.3619928571428571
Bhola,2017,Aus,86800.0,174068.0,0,29.78012466430664,1.0827218294143677,254.0355987548828,4.413958549499512,6.035593032836914,83.06236267089844,0.3538566666666667
Bhola,2017,Aman,175200.0,434140.0,1,28.431926727294922,1.38775634765625,237.17156982421875,4.01470947265625,5.212878704071045,85.96090698242188,0.4367971428571429
Bhola,2017,Boro,45568.0,160434.0,2,25.565860748291016,1.2851251363754272,64.03189849853516,2.0812346935272217,7.039977073669434,75.21846771240234,0.3702571428571429
Bhola,2018,Aus,84740.0,172102.0,0,29.81022071838379,0.908302128314972,219.9510498046875,4.440288066864014,5.842598915100098,82.22044372558594,0.3617983333333334
Bhola,2018,Aman,174258.0,423522.0,1,28.436140060424805,1.5509562492370603,236.3653106689453,4.068599224090576,5.16431188583374,85.8824462890625,0.44029
Bhola,2018,Boro,41369.0,161002.8,2,25.565059661865234,1.2593971490859983,63.35779571533203,2.0427379608154297,7.0404229164123535,78.15847778320312,0.3627628571428571
Bogra,2011,Aus,25622.0,53248.0,0,30.10833333333333,2.966666666666667,220.0,4.683333333333334,5.916666666666668,77.83333333333333,0.4512833333333333
Bogra,2011,Aman,183377.0,428279.0,1,29.185714285714287,2.514285714285714,196.28571428571428,3.9,5.328571428571427,81.57142857142857,0.4543671428571429
Bogra,2011,Boro,185370.0,692542.0,2,25.057142857142853,2.442857142857143,51.14285714285714,2.157142857142857,6.1571428571428575,74.57142857142857,0.4418114285714286
Bogra,2012,Aus,23186.0,50923.0,0,30.85,3.333333333333333,110.83333333333331,4.4,5.416666666666668,74.83333333333333,0.49118666666666666
Bogra,2012,Aman,182066.0,448188.0,1,28.714285714285715,2.7142857142857144,136.14285714285714,4.571428571428571,4.571428571428571,81.28571428571429,0.4624471428571428
Bogra,2012,Boro,184022.0,730444.0,2,25.564285714285717,2.9,32.0,2.057142857142857,5.971428571428571,71.42857142857143,0.43783857142857135
Bogra,2013,Aus,23186.0,56120.0,0,30.48333333333333,2.5666666666666664,149.66666666666666,4.683333333333334,5.05,77.16666666666667,0.4732983333333333
Bogra,2013,Aman,184319.0,468963.0,1,28.907142857142862,2.4285714285714284,148.85714285714286,4.2,4.842857142857143,80.42857142857143,0.4865042857142857
Bogra,2013,Boro,186797.0,756044.0,2,25.585714285714282,2.142857142857143,25.285714285714285,2.1428571428571432,6.0,73.28571428571429,0.45232857142857147
Bogra,2014,Aus,22695.0,52125.0,0,28.824277877807614,1.255306839942932,317.4428405761719,4.469457149505615,5.050677299499512,81.35235595703125,0.46554333333333336
Bogra,2014,Aman,181297.0,480483.0,1,29.015241622924805,1.0306555032730105,238.9624481201172,4.309433937072754,4.68202543258667,81.2567138671875,0.4765814285714286
Bogra,2014,Boro,190138.0,688437.0,2,25.565303802490234,0.8935348987579346,59.925086975097656,2.0436258316040044,6.07041072845459,75.91498565673828,0.45632857142857136
Bogra,2015,Aus,21540.0,53446.0,0,29.837162017822266,0.7480307221412659,231.7890472412109,4.563201904296875,5.165755748748778,80.33242797851562,0.5102916666666667
Bogra,2015,Aman,179767.0,480227.0,1,28.88929748535156,0.8317861557006836,177.55616760253906,3.7714214324951167,4.919214248657227,80.02061462402344,0.4913457142857142
Bogra,2015,Boro,187735.0,702778.0,2,25.56842994689941,0.4384156465530396,62.89920425415039,2.1047580242156982,6.09296464920044,70.61481475830078,0.4777085714285714
Bogra,2016,Aus,18878.0,47137.0,0,29.97870635986328,0.7221649885177612,267.21078491210943,4.439741134643555,5.548783302307129,79.11019134521484,0.47777000000000003
Bogra,2016,Aman,181148.0,494235.0,1,28.845592498779297,0.8148370385169983,181.89028930664062,4.1930036544799805,4.9953651428222665,80.56597137451172,0.47748999999999997
Bogra,2016,Boro,185741.0,719981.0,2,25.56515312194824,0.5590553283691406,62.93368911743164,2.045540809631348,5.926009654998778,73.18238067626953,0.45945857142857144
Bogra,2017,Aus,19075.0,53795.0,0,29.703227996826172,0.7834770679473877,250.878662109375,4.459935665130615,5.684641361236572,80.97503662109375,0.47807
Bogra,2017,Aman,164380.0,450823.0,1,28.87334632873535,0.7705812454223633,211.22447204589844,4.104611873626709,5.031074047088623,80.32530975341797,0.4997528571428572
Bogra,2017,Boro,187013.0,728268.0,2,25.56505012512207,0.6776524782180786,62.60582733154297,2.082195520401001,5.859377384185791,76.25116729736328,0.4732471428571428
Bogra,2018,Aus,20232.0,57385.0,0,29.519145965576172,0.8350903987884521,237.3349151611328,4.4635009765625,5.573304653167725,79.44783020019531,0.49861
Bogra,2018,Aman,175577.0,467997.0,1,28.85629653930664,0.8239550590515137,193.24659729003903,4.1450533866882315,5.315893173217773,78.88387298583984,0.5021914285714286
Bogra,2018,Boro,185915.0,709612.0,2,25.565208435058594,0.8076025247573853,63.1316032409668,2.04490327835083,5.82611894607544,73.0049057006836,0.48362714285714287
Chandpur,2011,Aus,9930.0,24282.0,0,29.825,2.333333333333333,284.6666666666667,5.666666666666668,5.25,81.16666666666667,0.4581333333333333
Chandpur,2011,Aman,43918.0,77592.0,1,28.807142857142857,2.057142857142857,217.57142857142856,4.628571428571427,4.742857142857143,83.42857142857143,0.4812971428571428
Chandpur,2011,Boro,65870.0,284239.0,2,25.67857142857143,2.2285714285714286,86.42857142857143,2.8428571428571425,6.128571428571428,76.42857142857143,0.46211857142857143
Chandpur,2012,Aus,10006.0,22360.0,0,30.383333333333336,2.566666666666667,229.0,5.033333333333333,5.783333333333332,80.83333333333333,0.4462933333333334
Chandpur,2012,Aman,47187.0,90938.0,1,28.657142857142855,2.4857142857142853,198.28571428571428,4.8,4.885714285714285,83.42857142857143,0.47543857142857143
Chandpur,2012,Boro,65296.0,233621.0,2,26.20714285714286,2.3142857142857145,66.14285714285714,2.7571428571428567,6.2,76.57142857142857,0.45040857142857144
Chandpur,2013,Aus,10256.0,22552.0,0,30.183333333333334,2.4666666666666663,312.1666666666667,5.016666666666667,5.15,81.16666666666667,0.48845166666666656
Chandpur,2013,Aman,37006.0,70130.0,1,28.878571428571433,2.1714285714285717,246.0,4.6571428571428575,4.4714285714285715,82.71428571428571,0.5099514285714286
Chandpur,2013,Boro,64231.0,210305.0,2,25.978571428571428,2.485714285714286,117.57142857142857,2.5857142857142863,6.014285714285713,76.57142857142857,0.48506571428571427
Chandpur,2014,Aus,11860.0,25969.0,0,28.78390121459961,3.1388208866119385,341.6344909667969,4.600019454956055,5.59158992767334,81.41092681884766,0.5018783333333333
Chandpur,2014,Aman,139208.0,292803.0,1,28.90729522705078,2.4560060501098637,234.12744140625,4.824997901916504,5.250955581665039,82.72216033935547,0.5222242857142857
Chandpur,2014,Boro,64424.0,221831.0,2,25.60610389709473,3.161393404006958,66.11277770996094,2.585878133773804,5.928749084472656,78.34059143066406,0.48622714285714286
Chandpur,2015,Aus,10197.0,24351.0,0,29.747716903686523,3.1001775264739986,226.05577087402344,4.613006591796875,5.475756168365479,80.92591094970703,0.474205
Chandpur,2015,Aman,137669.0,294604.0,1,28.76729393005371,2.3768322467803955,234.7279052734375,4.727447032928467,5.169149875640869,83.15531158447266,0.5225757142857143
Chandpur,2015,Boro,62341.0,212793.0,2,25.574321746826172,2.0786600112915044,64.74560546875,2.4213552474975586,5.878103256225586,77.01054382324219,0.48634857142857146
Chandpur,2016,Aus,9871.0,24569.0,0,30.020368576049805,3.2205698490142822,259.1083374023437,4.651440143585205,5.69384241104126,81.55183410644531,0.4924016666666667
Chandpur,2016,Aman,37247.0,67890.0,1,28.761083602905273,2.496199369430542,239.3300323486328,4.770069599151611,4.98225212097168,82.9966812133789,0.5230314285714285
Chandpur,2016,Boro,110467.0,436136.0,2,25.58820533752441,1.595457673072815,61.25944900512695,2.3319849967956543,6.082916259765625,77.88265991210938,0.5094257142857143
Chandpur,2017,Aus,9955.0,25483.0,0,29.711841583251953,2.630608320236206,273.9281616210937,4.643454074859619,5.422572612762451,82.61973571777344,0.49208
Chandpur,2017,Aman,43045.0,81165.0,1,28.77517127990723,2.1026642322540283,253.12652587890625,4.742006778717041,5.94618034362793,81.88245391845703,0.5350028571428572
Chandpur,2017,Boro,67733.0,245503.0,2,25.566843032836914,1.3574107885360718,64.71121215820311,2.2712321281433105,5.9260826110839835,80.89278411865234,0.514402857142857
Chandpur,2018,Aus,9774.0,26286.0,0,29.530139923095703,1.920697808265686,291.9979553222656,4.684250354766847,5.668152809143066,79.69043731689453,0.4889316666666667
Chandpur,2018,Aman,44168.0,79413.0,1,28.73930931091309,1.955085277557373,247.66546630859372,4.804280757904053,5.8508548736572275,82.49685668945312,0.5273542857142858
Chandpur,2018,Boro,61792.3,237576.3,2,25.56428146362305,1.0669662952423096,63.40188598632813,2.1744205951690674,5.835507392883301,79.33268737792969,0.49975571428571436
Chittagong,2011,Aus,45191.0,108080.0,0,28.941666666666674,6.116666666666667,382.16666666666674,4.883333333333333,6.033333333333332,80.83333333333333,0.5704033333333334
Chittagong,2011,Aman,184314.0,467750.0,1,27.892857142857146,5.7285714285714295,379.57142857142856,4.3,6.201714285714287,82.14285714285714,0.6003557142857143
Chittagong,2011,Boro,67237.0,227322.0,2,25.67142857142857,5.742857142857143,63.42857142857143,2.1142857142857143,7.644571428571429,73.71428571428571,0.5291328571428572
Chittagong,2012,Aus,43993.0,107343.0,0,29.40833333333333,6.966666666666668,472.33333333333326,4.666666666666667,6.033333333333332,83.0,0.57834
Chittagong,2012,Aman,179903.0,474410.0,1,27.87142857142857,6.428571428571429,461.8571428571428,4.414285714285716,6.201714285714287,84.42857142857143,0.5933957142857142
Chittagong,2012,Boro,67135.0,251413.0,2,25.91428571428571,6.342857142857143,59.0,2.157142857142857,7.644571428571429,75.14285714285714,0.5265585714285714
Chittagong,2013,Aus,44176.0,110759.0,0,29.241666666666664,6.866666666666666,336.5,4.566666666666666,6.033333333333332,82.5,0.5788733333333334
Chittagong,2013,Aman,178154.0,477130.0,1,28.02857142857143,5.971428571428571,246.7142857142857,4.4,6.201714285714287,82.85714285714286,0.6151728571428572
Chittagong,2013,Boro,63438.0,213771.0,2,25.507142857142853,6.6,119.14285714285714,2.157142857142857,7.644571428571429,76.28571428571429,0.5284657142857143
Chittagong,2014,Aus,43938.0,108026.0,0,29.31894302368164,0.9849602580070496,167.28042602539062,4.628441333770752,5.897402286529541,78.84326934814453,0.5774316666666667
Chittagong,2014,Aman,9427.0,23749.0,1,28.117380142211914,0.6948506236076355,196.26583862304688,4.441568851470947,6.090499877929688,83.85633087158203,0.6233614285714285
Chittagong,2014,Boro,66162.0,230000.0,2,25.577693939208984,1.3983581066131592,67.44926452636719,2.0571115016937256,7.09268045425415,72.47728729248047,0.5349857142857142
Chittagong,2015,Aus,31148.0,77092.0,0,29.29086685180664,0.8861829042434692,167.84695434570312,4.607923984527588,5.853618144989014,78.7643814086914,0.5910833333333333
Chittagong,2015,Aman,9670.0,23766.0,1,28.192087173461914,0.7594847083091736,188.0549774169922,4.4360551834106445,6.027626037597656,83.91778564453125,0.6177128571428571
Chittagong,2015,Boro,64995.0,222501.0,2,25.570781707763672,1.1186702251434326,63.91278457641602,2.1180284023284908,7.4060750007629395,74.50211334228516,0.5648414285714286
Chittagong,2016,Aus,31805.0,84071.0,0,29.425336837768555,0.7951426506042479,177.6158447265625,4.549012660980225,5.798895835876465,79.64423370361328,0.5976416666666665
Chittagong,2016,Aman,170728.0,475889.0,1,28.26223182678223,0.637709379196167,191.5346984863281,4.438539028167725,5.965076446533202,83.41880798339844,0.6324342857142857
Chittagong,2016,Boro,61535.0,187680.0,2,25.565128326416016,0.8727814555168152,60.84635543823242,2.0490036010742188,6.898531913757324,76.36832427978516,0.57345
Chittagong,2017,Aus,35528.0,92506.0,0,29.4696044921875,0.9412143230438232,175.34324645996094,4.547492504119873,5.815997123718263,78.18541717529297,0.5848983333333333
Chittagong,2017,Aman,175475.0,449527.0,1,28.31046485900879,0.8261623382568359,206.9077453613281,4.450178623199463,6.071921825408936,83.1005630493164,0.6295114285714286
Chittagong,2017,Boro,61651.0,206040.0,2,25.565141677856445,0.9636147022247314,64.72396087646484,2.08964204788208,7.444125652313232,72.4949722290039,0.5846585714285714
Chittagong,2018,Aus,36058.0,97581.0,0,29.521514892578125,1.0170772075653076,195.15689086914062,4.470355033874512,5.758585453033447,80.24002838134766,0.6028166666666667
Chittagong,2018,Aman,169719.0,435740.0,1,28.34916114807129,0.8499397039413452,208.798828125,4.453545093536377,5.966021060943604,83.74152374267578,0.6516428571428571
Chittagong,2018,Boro,61882.9,244972.0,2,25.565187454223636,0.8850444555282593,63.44153213500977,2.0463309288024902,6.619936943054199,73.86968994140625,0.5588242857142857
Chuadanga,2011,Aus,14327.0,37880.0,0,30.53333333333333,2.1333333333333333,227.0,4.266666666666667,6.1000000000000005,80.0,0.5248083333333333
Chuadanga,2011,Aman,43455.0,122987.0,1,28.65,1.5285714285714287,191.7142857142857,3.5857142857142854,5.285714285714286,85.14285714285714,0.5335628571428571
Chuadanga,2011,Boro,40264.0,154396.0,2,25.114285714285717,1.7571428571428571,40.142857142857146,1.7428571428571429,6.7285714285714295,76.85714285714286,0.5126142857142857
Chuadanga,2012,Aus,14641.0,34671.0,0,31.825,2.2500000000000004,119.66666666666669,3.6833333333333336,5.866666666666666,76.33333333333333,0.529635
Chuadanga,2012,Aman,43485.0,119763.0,1,28.514285714285712,1.8,140.42857142857142,3.8285714285714287,5.128571428571427,84.28571428571429,0.5723971428571428
Chuadanga,2012,Boro,39200.0,149013.0,2,25.814285714285717,2.0571428571428574,34.714285714285715,1.7,6.928571428571429,74.57142857142857,0.4981714285714286
Chuadanga,2013,Aus,21486.0,57826.0,0,31.0,2.25,136.66666666666666,4.216666666666667,5.8500000000000005,78.5,0.5683583333333333
Chuadanga,2013,Aman,39193.0,108973.0,1,28.285714285714285,1.8714285714285712,122.42857142857143,3.728571428571428,5.271428571428571,85.57142857142857,0.5782314285714286
Chuadanga,2013,Boro,41159.0,150362.0,2,25.35,2.128571428571429,44.0,1.7857142857142858,6.7285714285714295,75.71428571428571,0.5445057142857144
Chuadanga,2014,Aus,25508.0,70287.0,0,29.12024307250977,1.928189158439636,390.199462890625,4.497411727905273,6.100613117218018,85.99065399169922,0.5475800000000001
Chuadanga,2014,Aman,36526.0,99997.0,1,28.46092796325684,1.4641662836074831,229.9072723388672,4.046987533569337,5.612427234649658,84.77696228027344,0.5860757142857143
Chuadanga,2014,Boro,39205.0,147069.0,2,25.55954742431641,1.7470005750656128,61.32091522216797,2.0143351554870605,6.677717208862305,78.05498504638672,0.5342071428571429
Chuadanga,2015,Aus,27466.0,74737.0,0,29.841049194335934,1.8497635126113887,224.83566284179688,4.151179313659668,5.961042404174805,83.99612426757812,0.5480616666666667
Chuadanga,2015,Aman,36903.0,101810.0,1,28.46502494812012,1.191362380981445,159.38229370117188,3.960119485855103,5.48236608505249,84.78280639648438,0.5708828571428571
Chuadanga,2015,Boro,38127.0,144652.0,2,25.575048446655273,1.6654324531555176,62.90398406982422,2.0408587455749507,6.544089317321777,76.49765014648438,0.5334128571428571
Chuadanga,2016,Aus,27142.0,75607.0,0,29.96144676208496,1.825303316116333,311.696044921875,4.056732177734375,5.839998245239258,84.19583129882812,0.5444066666666666
Chuadanga,2016,Aman,36344.0,101387.0,1,28.433826446533203,1.019582986831665,158.56396484375,4.440168380737305,5.5114336013793945,84.9353256225586,0.5667071428571429
Chuadanga,2016,Boro,35160.0,135832.0,2,25.56488800048828,1.727803349494934,62.90190887451172,1.9404947757720947,6.6116576194763175,76.34223175048828,0.5429228571428572
Chuadanga,2017,Aus,38400.0,111916.0,0,29.64675331115723,1.5152078866958618,301.6470947265625,4.194747447967528,5.803195476531982,85.412353515625,0.557705
Chuadanga,2017,Aman,34190.0,96705.0,1,28.47110939025879,0.90230530500412,198.9366607666016,4.0660552978515625,5.519232273101807,84.87622833251953,0.5909542857142858
Chuadanga,2017,Boro,38730.0,146744.0,2,25.56588554382324,1.5388299226760864,62.88126754760742,2.099348783493042,6.3532752990722665,78.82499694824219,0.5571200000000001
Chuadanga,2018,Aus,37776.0,109585.0,0,29.652746200561523,1.1942486763000488,229.0784912109375,4.154553413391113,5.911234855651856,84.98770904541016,0.5570216666666666
Chuadanga,2018,Aman,32680.0,89821.0,1,28.47821044921875,0.7804636359214783,194.4054718017578,4.3024115562438965,5.655022621154785,85.0411148071289,0.5863814285714286
Chuadanga,2018,Boro,32616.2,131195.0,2,25.565216064453125,1.4300203323364258,63.18177032470703,2.040997266769409,6.392764568328857,77.71035766601562,0.5681485714285716
Comilla,2011,Aus,69698.0,157418.0,0,29.35833333333333,2.1,262.5,4.8500000000000005,6.133333333333333,81.83333333333333,0.4916
Comilla,2011,Aman,142763.0,342915.0,1,28.514285714285712,1.8571428571428572,204.14285714285717,4.0285714285714285,6.028571428571429,82.85714285714286,0.5198614285714286
Comilla,2011,Boro,162672.0,623062.0,2,25.0,1.9285714285714288,65.0,2.085714285714286,7.114285714285715,76.85714285714286,0.49026000000000003
Comilla,2012,Aus,67424.0,161670.0,0,29.7,2.1166666666666667,252.33333333333331,4.7,6.616666666666666,82.0,0.5018166666666667
Comilla,2012,Aman,143883.0,338564.0,1,28.092857142857145,1.9285714285714288,213.57142857142856,4.314285714285714,6.000000000000001,83.14285714285714,0.5233899999999999
