st,yr,September,October,November,December,January,February,March,April,May,June,July,August,AVG,STDDEV
Maulvibazar,2011,0.7128,0.6064,0.49781,0.45405,0.49661,0.53452,0.5728,0.53558,0.37965,0.50096,0.60979,0.66976,0.5475608333333334,0.08883638935878449
Maulvibazar,2012,0.70816,0.57717,0.50238,0.44221,0.41738,0.44588,0.54278,0.50684,0.47797,0.52044,0.60314,0.7009,0.5371041666666666,0.0911245711885963
Maulvibazar,2013,0.74579,0.64497,0.50826,0.48804,0.47437,0.52192,0.54167,0.47754,0.4529,0.48568,0.57813,0.70636,0.5521358333333334,0.09287670836996156
Maulvibazar,2014,0.72573,0.62603,0.52229,0.48127,0.49594,0.51839,0.54749,0.53281,0.54597,0.55623,0.43775,0.71347,0.5586141666666666,0.08409510166653916
Maulvibazar,2015,0.7022,0.61492,0.53377,0.45191,0.48199,0.51048,0.55529,0.54123,0.43675,0.47945,0.46669,0.71974,0.5412016666666667,0.08952781484296128
Maulvibazar,2016,0.72007,0.58929,0.54471,0.52436,0.52777,0.59079,0.55725,0.53248,0.42908,0.45103,0.55012,0.70706,0.5603341666666667,0.08239813807143272
Maulvibazar,2017,0.70958,0.6466,0.56703,0.49158,0.52032,0.58288,0.56503,0.58462,0.36642,0.46948,0.44732,0.68238,0.55277,0.09576331700256278
Maulvibazar,2018,0.72547,0.67544,0.58002,0.52858,0.54272,0.60656,0.6072,0.50273,0.42412,0.52486,0.57207,0.7026,0.5826975000000001,0.08369855485859158
Maulvibazar,2019,0.74131,0.68226,0.55829,0.50331,0.54731,0.60226,0.62641,0.5841,0.50891,0.47206,0.64153,0.73765,0.60045,0.08509377709327517
Chittagong,2011,0.57397,0.64203,0.48687,0.52991,0.48179,0.62527,0.49226,0.58435,0.50454,0.5425,0.66563,0.74793,0.5730875,0.08341470626
Chittagong,2012,0.55884,0.73782,0.47866,0.51091,0.43194,0.56528,0.46006,0.6083,0.53974,0.55752,0.63741,0.71702,0.5669583333,0.09528838667
Chittagong,2013,0.54967,0.74263,0.50783,0.5057,0.46126,0.49776,0.55568,0.55953,0.56797,0.5473,0.69015,0.76486,0.579195,0.09884928376
Chittagong,2014,0.5665,0.74212,0.51293,0.53554,0.51118,0.53627,0.56399,0.53026,0.52545,0.56304,0.68288,0.7623,0.5860383333,0.08993053115
Chittagong,2015,0.62469,0.72449,0.54981,0.52364,0.49411,0.55492,0.46438,0.6093,0.56872,0.58362,0.70269,0.74408,0.5953708333,0.08968393486
Chittagong,2016,0.59837,0.72476,0.56044,0.60432,0.5333,0.60397,0.53962,0.57941,0.53972,0.59859,0.65562,0.74404,0.6068466667,0.06915066835
Chittagong,2017,0.63698,0.70066,0.57627,0.61591,0.51294,0.56798,0.46825,0.64042,0.4951,0.61499,0.72281,0.75562,0.6089941667,0.09018698258
Chittagong,2018,0.60374,0.73488,0.54418,0.56756,0.52643,0.61183,0.60132,0.59491,0.47022,0.60473,0.69811,0.76645,0.6103633333,0.08573881272
Chittagong,2019,0.59022,0.77512,0.59944,0.59949,0.50917,0.621,0.54514,0.63089,0.58421,0.60169,0.70546,0.78176,0.6286325,0.08420266991
Kushtia,2011,0.53666,0.47034,0.39638,0.47481,0.48673,0.48155,0.4442,0.49889,0.47356,0.38034,0.38179,0.5156,0.46173749999999997,0.04906883398604453
Kushtia,2012,0.61276,0.50123,0.41958,0.43136,0.4729,0.42563,0.42574,0.41438,0.45937,0.48078,0.52349,0.57254,0.47831333333333337,0.06137052377883774
Kushtia,2013,0.64845,0.46105,0.41956,0.49386,0.50898,0.45326,0.44431,0.53444,0.48808,0.43658,0.46114,0.61598,0.49714083333333337,0.0680949708689187
Kushtia,2014,0.64707,0.4755,0.42406,0.5075,0.53422,0.46947,0.41786,0.50217,0.50368,0.47458,0.42784,0.66739,0.5042783333333333,0.07668892421479274
Kushtia,2015,0.64499,0.48545,0.40548,0.50792,0.52578,0.47045,0.46064,0.56247,0.50379,0.45671,0.44408,0.67495,0.5118925,0.07699883074058117
Kushtia,2016,0.61444,0.43822,0.40166,0.51284,0.5362,0.45692,0.41825,0.52759,0.56101,0.4149,0.42504,0.60191,0.49241500000000005,0.0728228405675948
Kushtia,2017,0.69893,0.50894,0.46098,0.48251,0.52434,0.47974,0.4701,0.60474,0.52612,0.40923,0.48093,0.63072,0.5231066666666667,0.07869494046986476
Kushtia,2018,0.65096,0.51743,0.4642,0.51897,0.52775,0.54007,0.51005,0.50971,0.54964,0.38961,0.44915,0.67231,0.5249875,0.07457614666958418
Kushtia,2019,0.66627,0.53674,0.46311,0.55471,0.52771,0.53533,0.54813,0.58655,0.56034,0.4946,0.51227,0.67682,0.555215,0.060328707442366666
Jessore,2011,0.62669,0.54421,0.44501,0.42326,0.48681,0.64582,0.57888,0.42746,0.38052,0.41298,0.48516,0.63423,0.5075858333333333,0.09093710889568433
Jessore,2012,0.67255,0.54752,0.47405,0.42421,0.46312,0.58969,0.55562,0.43391,0.4285,0.44251,0.51921,0.70207,0.5210800000000001,0.09110495083510371
Jessore,2013,0.71737,0.52382,0.47779,0.4593,0.44123,0.60721,0.64008,0.47358,0.50359,0.48348,0.53795,0.75715,0.5518791666666668,0.10032860654355875
Jessore,2014,0.70578,0.54202,0.43622,0.44825,0.50135,0.65689,0.54737,0.44151,0.43402,0.43264,0.54353,0.74015,0.5358108333333332,0.10575402092106105
Jessore,2015,0.6783,0.53848,0.44572,0.43869,0.54446,0.64783,0.57385,0.53307,0.46257,0.41948,0.55029,0.74127,0.5478341666666667,0.09640287214413731
Jessore,2016,0.63347,0.51919,0.48005,0.43399,0.5513,0.65083,0.45282,0.54878,0.55281,0.4285,0.4931,0.63498,0.5316516666666666,0.07476132008301857
Jessore,2017,0.71423,0.56803,0.49901,0.45962,0.54111,0.66303,0.55793,0.5705,0.49318,0.41134,0.56172,0.70901,0.5623925,0.09010956480169019
Jessore,2018,0.72177,0.56395,0.46287,0.44287,0.53173,0.6848,0.55509,0.5097,0.53889,0.46445,0.54948,0.75482,0.5650350000000001,0.0981512280870698
Jessore,2019,0.75623,0.59408,0.52644,0.49303,0.45745,0.68457,0.61379,0.49814,0.4922,0.52071,0.51458,0.75985,0.5759225,0.10129756324191612
Bagerhat,2011,0.55358,0.59087,0.52816,0.50098,0.50491,0.52202,0.50195,0.40129,0.32988,0.32028,0.39399,0.47454,0.4685375,0.08337981971326555
Bagerhat,2012,0.62101,0.58891,0.55411,0.47257,0.5055,0.47595,0.49523,0.42649,0.33732,0.28509,0.36894,0.48404,0.4679300000000001,0.09574468984405002
Bagerhat,2013,0.64151,0.60122,0.53261,0.52173,0.51271,0.52801,0.50306,0.39924,0.43262,0.39569,0.37198,0.55728,0.499805,0.08062491441855923
Bagerhat,2014,0.6242,0.59724,0.55072,0.5165,0.54177,0.53692,0.5026,0.4612,0.33852,0.36445,0.40234,0.58599,0.5018708333333333,0.0883578866936745
Bagerhat,2015,0.62079,0.62711,0.52508,0.52132,0.52527,0.54952,0.49,0.46104,0.31885,0.34843,0.39712,0.58024,0.4970641666666667,0.09541467387657004
Bagerhat,2016,0.61407,0.60058,0.54325,0.53624,0.54567,0.55678,0.48523,0.47532,0.4324,0.30056,0.43229,0.49375,0.501345,0.08235960068504461
Bagerhat,2017,0.63907,0.63944,0.58774,0.53746,0.54981,0.56413,0.50625,0.505,0.33957,0.327,0.45662,0.56535,0.51812,0.09679123247140381
Bagerhat,2018,0.6184,0.61908,0.56597,0.53729,0.52436,0.57916,0.5023,0.47745,0.35103,0.44722,0.45456,0.56965,0.5205391666666667,0.07535809848741466
Bagerhat,2019,0.65203,0.61028,0.55445,0.54606,0.54805,0.56609,0.57233,0.50635,0.40739,0.47133,0.44994,0.60915,0.5411208333333334,0.06821351240264319
Manikganj,2011,0.45645,0.46708,0.49375,0.46249,0.38289,0.44883,0.55054,0.53839,0.41567,0.35896,0.42768,0.49274,0.45795583333333334,0.05466700199973371
Manikganj,2012,0.48438,0.44964,0.43308,0.44011,0.34578,0.44179,0.53555,0.43418,0.38652,0.39172,0.44497,0.40948,0.4331,0.04630570519205309
Manikganj,2013,0.55244,0.42335,0.49325,0.49914,0.44968,0.427,0.52951,0.46851,0.43768,0.35386,0.41202,0.55389,0.4666941666666667,0.058430152669424223
Manikganj,2014,0.55615,0.42877,0.47835,0.50999,0.45745,0.4681,0.4938,0.47906,0.40379,0.46436,0.3255,0.55417,0.4682908333333334,0.060515598327804905
Manikganj,2015,0.51549,0.4409,0.47613,0.52297,0.4097,0.47225,0.53718,0.50277,0.44445,0.35667,0.29892,0.55158,0.4607508333333333,0.07267582982651263
Manikganj,2016,0.52215,0.47805,0.50867,0.54487,0.43387,0.48426,0.50059,0.51042,0.43221,0.27797,0.391,0.50257,0.4655525,0.07031572051883798
Manikganj,2017,0.54012,0.5116,0.52854,0.54095,0.44956,0.48452,0.56331,0.56181,0.39025,0.38197,0.30653,0.48482,0.47866500000000006,0.07800806299137718
Manikganj,2018,0.53258,0.48917,0.54441,0.53676,0.46025,0.50453,0.56939,0.48751,0.42256,0.42611,0.44804,0.5473,0.49738416666666657,0.04777163810922636
Manikganj,2019,0.58217,0.51051,0.52089,0.54995,0.47944,0.5266,0.59923,0.52449,0.39654,0.42985,0.45517,0.55624,0.5109233333333333,0.05826392556481431
Comilla,2011,0.70922,0.59983,0.44243,0.40578,0.48745,0.62833,0.58828,0.49022,0.38933,0.35127,0.53934,0.59116,0.5185533333333334,0.10429979932333948
Comilla,2012,0.68013,0.59855,0.45727,0.40036,0.47464,0.5903,0.57425,0.42199,0.48724,0.47844,0.44339,0.60559,0.5176791666666667,0.0844293098256695
Comilla,2013,0.7122,0.60002,0.44856,0.44252,0.47085,0.64649,0.61073,0.47313,0.49984,0.49914,0.5085,0.68886,0.55007,0.09216474958825999
Comilla,2014,0.71166,0.62316,0.48884,0.4558,0.50985,0.6252,0.53685,0.47092,0.50517,0.54473,0.45198,0.67925,0.5502841666666667,0.08472709813063875
Comilla,2015,0.67516,0.63628,0.50977,0.47672,0.51264,0.65288,0.59955,0.46181,0.45175,0.39188,0.55427,0.68654,0.5507708333333333,0.09381706005646781
Comilla,2016,0.72227,0.59356,0.50774,0.48298,0.54511,0.66326,0.48197,0.50766,0.47871,0.49813,0.57134,0.60028,0.5544175,0.07508138585617163
Comilla,2017,0.71195,0.66408,0.55997,0.47493,0.53429,0.67127,0.59469,0.57779,0.45298,0.48684,0.52088,0.66378,0.5761208333333333,0.08251666775651384
Comilla,2018,0.6967,0.64602,0.49998,0.45883,0.5703,0.65538,0.58165,0.44759,0.39397,0.47526,0.56035,0.69345,0.5566233333333334,0.09774596993681575
Comilla,2019,0.73407,0.64347,0.49439,0.52818,0.52058,0.6836,0.61609,0.55063,0.56638,0.53324,0.55332,0.6737,0.5914708333333333,0.07331082565105161
Barguna,2011,0.66271,0.65513,0.49229,0.40719,0.40878,0.41311,0.42426,0.38647,0.27801,0.33954,0.33297,0.47245,0.4394091666666668,0.11304113421363728
Barguna,2012,0.68068,0.64823,0.48484,0.36303,0.38854,0.39025,0.45461,0.37463,0.36951,0.23331,0.30815,0.49829,0.4328391666666667,0.12472900534480964
Barguna,2013,0.74113,0.64698,0.44177,0.39465,0.38238,0.405,0.43211,0.29735,0.40905,0.36271,0.33696,0.61737,0.45562166666666665,0.1312175862091494
Barguna,2014,0.70322,0.62774,0.49633,0.40488,0.42017,0.41184,0.4163,0.40894,0.38025,0.36926,0.36783,0.61226,0.4682516666666667,0.11012437437077931
Barguna,2015,0.71231,0.67982,0.47033,0.39452,0.38948,0.41706,0.48392,0.43662,0.19199,0.34776,0.35879,0.62564,0.45901999999999993,0.14329658614216878
Barguna,2016,0.70125,0.63058,0.46751,0.39429,0.41194,0.47355,0.47522,0.43025,0.38894,0.31714,0.35983,0.47219,0.46022416666666666,0.10445250327767269
Barguna,2017,0.70281,0.68756,0.52395,0.40969,0.36899,0.46003,0.50888,0.46781,0.33108,0.32078,0.36559,0.57546,0.4768858333333333,0.12346365115951695
Barguna,2018,0.71235,0.68156,0.49366,0.39698,0.37526,0.46728,0.51712,0.46087,0.34522,0.464,0.42076,0.6112,0.4955216666666667,0.11210909484614628
Barguna,2019,0.75177,0.68215,0.48772,0.42933,0.35709,0.48287,0.56018,0.495,0.38368,0.45665,0.37847,0.61713,0.5068366666666666,0.11881806914588185
Thakurgaon,2011,0.62477,0.46817,0.36839,0.40795,0.46705,0.53931,0.60778,0.57457,0.40374,0.33303,0.61559,0.6437,0.5045041666666666,0.10531521918019363
Thakurgaon,2012,0.63773,0.43454,0.37199,0.43626,0.42395,0.4873,0.58503,0.53297,0.39357,0.34677,0.70563,0.73912,0.507905,0.126321318898804
Thakurgaon,2013,0.70279,0.46339,0.39046,0.51988,0.47838,0.4784,0.57659,0.58633,0.42252,0.42853,0.62646,0.77081,0.5370450000000001,0.11294707399928519
Thakurgaon,2014,0.6973,0.46177,0.42804,0.55541,0.53384,0.47977,0.55057,0.52577,0.47197,0.4483,0.43042,0.74006,0.5269349999999999,0.09601908191430841
Thakurgaon,2015,0.70447,0.47477,0.39636,0.47757,0.55169,0.54704,0.60959,0.61644,0.47741,0.55009,0.45527,0.76306,0.55198,0.10244484516070099
Thakurgaon,2016,0.68228,0.44295,0.45305,0.54493,0.50043,0.52697,0.56366,0.62267,0.59211,0.37351,0.67543,0.70051,0.5565416666666666,0.09900849920026505
Thakurgaon,2017,0.77848,0.57031,0.43739,0.48494,0.51509,0.53813,0.63422,0.641,0.50942,0.34635,0.60219,0.79263,0.5708458333333333,0.12441919140941328
Thakurgaon,2018,0.71656,0.54668,0.4074,0.47452,0.48517,0.55502,0.65715,0.66114,0.45829,0.39538,0.63131,0.76175,0.5625308333333333,0.1168081701950063
Thakurgaon,2019,0.74922,0.5558,0.40902,0.50468,0.51482,0.60561,0.72136,0.64846,0.52851,0.49842,0.65377,0.80816,0.5998191666666667,0.11394222201466359
Rangpur,2011,0.69893,0.49027,0.38494,0.38359,0.43396,0.57428,0.60986,0.5121,0.44171,0.41154,0.59883,0.66868,0.5173908333333332,0.10581676501216095
Rangpur,2012,0.69679,0.50496,0.3802,0.39171,0.36589,0.51269,0.62863,0.50463,0.41972,0.36175,0.67143,0.68322,0.5101350000000001,0.12477528043780681
Rangpur,2013,0.73182,0.54458,0.40992,0.4333,0.4317,0.53287,0.64175,0.47651,0.47047,0.43487,0.55185,0.75837,0.5348341666666667,0.1135333071142806
Rangpur,2014,0.70624,0.51114,0.40809,0.45537,0.43696,0.55234,0.62003,0.49928,0.40691,0.42372,0.42329,0.69124,0.5112175,0.10394354205729504
Rangpur,2015,0.66694,0.51513,0.39565,0.38894,0.48438,0.59388,0.64664,0.5529,0.48947,0.52864,0.45881,0.72842,0.5374833333333333,0.10108729918024101
Rangpur,2016,0.71404,0.44209,0.43559,0.47536,0.43729,0.56434,0.63606,0.54618,0.42129,0.38316,0.56448,0.69392,0.52615,0.10647502821475716
Rangpur,2017,0.75704,0.61112,0.45052,0.43365,0.44503,0.56611,0.66921,0.60884,0.473,0.37585,0.53755,0.76947,0.5581158333333334,0.1234149898012348
Rangpur,2018,0.73556,0.58609,0.42935,0.43385,0.43046,0.59195,0.6555,0.58463,0.42897,0.43727,0.55987,0.77247,0.5538308333333333,0.11864929972109213
Rangpur,2019,0.77335,0.58079,0.36709,0.47145,0.44599,0.61083,0.71718,0.58539,0.51121,0.46354,0.67274,0.70326,0.575235,0.12044066966076422
Panchagarh,2011,0.65174,0.51264,0.4073,0.34912,0.40034,0.49081,0.62651,0.61755,0.41565,0.42143,0.61839,0.69927,0.5175625,0.11463485923611252
Panchagarh,2012,0.64167,0.46314,0.41284,0.36817,0.35693,0.40381,0.5821,0.56093,0.42667,0.37516,0.7515,0.75644,0.5082800000000001,0.14015848654291327
Panchagarh,2013,0.76396,0.49794,0.39829,0.43968,0.38091,0.43204,0.55827,0.61495,0.4012,0.44052,0.69388,0.77061,0.5326875000000001,0.13855483325654863
Panchagarh,2014,0.67646,0.48658,0.42072,0.45114,0.42261,0.4379,0.55239,0.59956,0.44507,0.45822,0.51879,0.70328,0.5143933333333334,0.09418335533533631
Panchagarh,2015,0.72076,0.51146,0.42981,0.40287,0.44455,0.49316,0.63587,0.6516,0.48432,0.6076,0.43792,0.7715,0.5492849999999999,0.11833341008213473
Panchagarh,2016,0.68614,0.4688,0.45174,0.47866,0.39912,0.53063,0.60876,0.67306,0.58241,0.35918,0.63698,0.72912,0.5503833333333334,0.11500682851707353
Panchagarh,2017,0.79434,0.59096,0.45305,0.42119,0.42561,0.57719,0.64843,0.67889,0.52232,0.41884,0.60416,0.78627,0.5767708333333333,0.1284556205114133
Panchagarh,2018,0.69164,0.55248,0.41548,0.4088,0.40306,0.53589,0.63267,0.67344,0.44673,0.48399,0.67243,0.78242,0.5582525,0.12422300438626495
Panchagarh,2019,0.7388,0.58923,0.40418,0.43213,0.41612,0.57511,0.73629,0.68953,0.50062,0.555,0.68034,0.82032,0.5948058333333333,0.133386107376189
Nilphamari,2011,0.63782,0.48537,0.40267,0.34823,0.42701,0.60487,0.64515,0.53193,0.44914,0.40218,0.61108,0.6728,0.5181874999999999,0.10821030142928477
Nilphamari,2012,0.66148,0.45579,0.39251,0.36999,0.34807,0.54486,0.63753,0.50939,0.40397,0.36924,0.73279,0.68235,0.5089975,0.13334667138234085
Nilphamari,2013,0.70814,0.49433,0.39631,0.41273,0.41223,0.56223,0.65009,0.50379,0.45629,0.41536,0.64511,0.76525,0.5351549999999999,0.12298308674366568
Nilphamari,2014,0.6711,0.48321,0.41018,0.43411,0.41423,0.57425,0.62106,0.50983,0.38434,0.41929,0.46286,0.70645,0.5075758333333333,0.10519487839705992
Nilphamari,2015,0.66484,0.48075,0.40652,0.3695,0.47208,0.63668,0.64862,0.56099,0.42226,0.5476,0.45696,0.73337,0.5333475,0.11175075645717122
Nilphamari,2016,0.66276,0.43737,0.44556,0.46721,0.46367,0.61925,0.63181,0.53727,0.42663,0.37707,0.61377,0.68481,0.5305983333333334,0.10210851554705035
Nilphamari,2017,0.75531,0.55673,0.43749,0.41361,0.47749,0.63576,0.67412,0.57815,0.47308,0.34891,0.61462,0.77678,0.5618375000000001,0.12991861754735798
Nilphamari,2018,0.68148,0.53688,0.41401,0.42355,0.44109,0.6393,0.62688,0.57898,0.40573,0.48181,0.65665,0.75201,0.5531975,0.11403637717303193
Nilphamari,2019,0.72048,0.55058,0.37166,0.44446,0.46315,0.66865,0.73849,0.60685,0.49813,0.49843,0.68683,0.74236,0.5825058333333333,0.12274091666720417
Lalmonirhat,2011,0.63688,0.4594,0.36254,0.33318,0.43634,0.55665,0.59663,0.56503,0.41991,0.42899,0.5471,0.65141,0.49950500000000003,0.10187165957713658
Lalmonirhat,2012,0.60926,0.41782,0.35443,0.34197,0.37482,0.50656,0.61202,0.53699,0.40584,0.34282,0.69052,0.64166,0.4862258333333333,0.12320226062985029
Lalmonirhat,2013,0.68464,0.47604,0.36241,0.38834,0.45149,0.54358,0.59637,0.49938,0.43229,0.37951,0.63968,0.73592,0.5158041666666667,0.11933110292084606
Lalmonirhat,2014,0.65078,0.45492,0.38422,0.44393,0.49069,0.54722,0.58148,0.53135,0.42158,0.41548,0.56626,0.69662,0.5153774999999999,0.09343420779038407
Lalmonirhat,2015,0.62636,0.44955,0.38701,0.39606,0.52916,0.58107,0.62201,0.57137,0.42252,0.56004,0.47645,0.7146,0.5280166666666667,0.09843847252076915
Lalmonirhat,2016,0.63293,0.41312,0.40756,0.48096,0.51128,0.60063,0.60519,0.53541,0.35744,0.28115,0.52474,0.66827,0.5015566666666667,0.11321627241209142
Lalmonirhat,2017,0.71655,0.51736,0.40777,0.41948,0.53985,0.6238,0.62582,0.58283,0.41638,0.3777,0.57542,0.7613,0.5470216666666667,0.11943410818196877
Lalmonirhat,2018,0.67574,0.50352,0.40935,0.45243,0.51488,0.6166,0.61178,0.5613,0.43648,0.48844,0.60364,0.71855,0.5493925000000001,0.09347238702106986
Lalmonirhat,2019,0.71604,0.54111,0.33701,0.45987,0.51724,0.61939,0.69898,0.59438,0.44943,0.46893,0.64439,0.70382,0.5625491666666668,0.1149479014204793
Kurigram,2011,0.55761,0.42929,0.32436,0.26983,0.32757,0.43151,0.44548,0.41,0.40136,0.34327,0.37922,0.50787,0.40228083333333337,0.07745823148191261
Kurigram,2012,0.46068,0.35032,0.31055,0.28931,0.27554,0.38649,0.4732,0.42258,0.34683,0.23825,0.43939,0.43789,0.3692525,0.07559601071099364
Kurigram,2013,0.56718,0.45281,0.33411,0.32685,0.31432,0.41725,0.43458,0.34692,0.39882,0.34143,0.40667,0.54809,0.40741916666666667,0.0800149968712463
Kurigram,2014,0.51879,0.41486,0.3718,0.36274,0.33496,0.44436,0.45475,0.39507,0.3943,0.33644,0.33189,0.43506,0.3995849999999999,0.054523528942405516
Kurigram,2015,0.51375,0.43064,0.37304,0.31149,0.3522,0.48778,0.48635,0.44686,0.3208,0.47059,0.3379,0.50772,0.4199266666666666,0.073047824669109
Kurigram,2016,0.53917,0.42042,0.38133,0.36784,0.33677,0.47411,0.46418,0.43227,0.36836,0.21696,0.37323,0.49534,0.40583166666666665,0.08150758132768318
Kurigram,2017,0.57475,0.49243,0.38671,0.32808,0.36015,0.49367,0.48302,0.4724,0.41444,0.26866,0.32908,0.51966,0.42692083333333336,0.088992624081843
Kurigram,2018,0.5667,0.48988,0.38962,0.33364,0.33664,0.48311,0.48619,0.45077,0.36788,0.40058,0.46112,0.51034,0.4397058333333333,0.07031520194314708
Kurigram,2019,0.59028,0.50055,0.35116,0.37655,0.34142,0.51808,0.56933,0.50662,0.42353,0.28225,0.44586,0.56418,0.4558175,0.09693503873943966
Gaibandha,2011,0.6217,0.45971,0.34966,0.2991,0.36189,0.5364,0.5112,0.4035,0.4059,0.28459,0.43435,0.53042,0.4332016666666667,0.09839609187982125
Gaibandha,2012,0.55819,0.42523,0.32047,0.28991,0.28198,0.48326,0.55813,0.3957,0.43177,0.32273,0.50744,0.51412,0.42407749999999994,0.09771557135593419
Gaibandha,2013,0.64755,0.50347,0.35813,0.34006,0.32075,0.53419,0.55223,0.39897,0.40587,0.32803,0.39463,0.61647,0.45002916666666665,0.11062802601950476
Gaibandha,2014,0.60242,0.46314,0.38649,0.35329,0.351,0.57094,0.53461,0.37701,0.33984,0.37603,0.34092,0.53899,0.43622333333333335,0.09524163588239944
Gaibandha,2015,0.5544,0.45855,0.37795,0.32591,0.44337,0.58972,0.55603,0.42218,0.40734,0.44085,0.38547,0.54727,0.45908666666666664,0.08045822076636353
Gaibandha,2016,0.60002,0.42525,0.389,0.3653,0.39708,0.52796,0.50608,0.41389,0.40841,0.30106,0.42921,0.55276,0.4430016666666667,0.08249131912241163
Gaibandha,2017,0.63552,0.53932,0.41896,0.35026,0.40731,0.53055,0.52983,0.48342,0.38048,0.3471,0.34838,0.56243,0.46113000000000004,0.09399015586751625
Gaibandha,2018,0.61926,0.51779,0.40462,0.34549,0.36257,0.5772,0.55265,0.44927,0.33481,0.39608,0.46499,0.59931,0.46867,0.09793661572670358
